observation_date,DEXINUS,YearMonth,Monthly_Avg
02-01-2009,48.25,2009-01,48.70
05-01-2009,48.5,2009-01,48.70
06-01-2009,48.5,2009-01,48.70
07-01-2009,48.56,2009-01,48.70
08-01-2009,48.45,2009-01,48.70
09-01-2009,48.26,2009-01,48.70
12-01-2009,48.78,2009-01,48.70
13-01-2009,48.89,2009-01,48.70
14-01-2009,48.75,2009-01,48.70
15-01-2009,48.87,2009-01,48.70
16-01-2009,48.62,2009-01,48.70
19-01-2009,,2009-01,48.70
20-01-2009,49.01,2009-01,48.70
21-01-2009,49,2009-01,48.70
22-01-2009,49.07,2009-01,48.70
23-01-2009,49,2009-01,48.70
26-01-2009,48.5,2009-01,48.70
27-01-2009,48.85,2009-01,48.70
28-01-2009,48.81,2009-01,48.70
29-01-2009,48.49,2009-01,48.70
30-01-2009,48.83,2009-01,48.70
02-02-2009,48.84,2009-02,49.25
03-02-2009,48.37,2009-02,49.25
04-02-2009,48.68,2009-02,49.25
05-02-2009,48.72,2009-02,49.25
06-02-2009,48.61,2009-02,49.25
09-02-2009,48.52,2009-02,49.25
10-02-2009,48.68,2009-02,49.25
11-02-2009,48.78,2009-02,49.25
12-02-2009,48.7,2009-02,49.25
13-02-2009,48.58,2009-02,49.25
16-02-2009,,2009-02,49.25
17-02-2009,49.6,2009-02,49.25
18-02-2009,49.84,2009-02,49.25
19-02-2009,49.73,2009-02,49.25
20-02-2009,49.71,2009-02,49.25
23-02-2009,49.46,2009-02,49.25
24-02-2009,49.75,2009-02,49.25
25-02-2009,49.95,2009-02,49.25
26-02-2009,50.32,2009-02,49.25
27-02-2009,50.88,2009-02,49.25
02-03-2009,51.8,2009-03,51.13
03-03-2009,51.96,2009-03,51.13
04-03-2009,51.53,2009-03,51.13
05-03-2009,51.6,2009-03,51.13
06-03-2009,51.68,2009-03,51.13
09-03-2009,51.91,2009-03,51.13
10-03-2009,51.35,2009-03,51.13
11-03-2009,50.98,2009-03,51.13
12-03-2009,51.69,2009-03,51.13
13-03-2009,51.54,2009-03,51.13
16-03-2009,51.31,2009-03,51.13
17-03-2009,51.42,2009-03,51.13
18-03-2009,51.22,2009-03,51.13
19-03-2009,50.21,2009-03,51.13
20-03-2009,50.51,2009-03,51.13
23-03-2009,50.38,2009-03,51.13
24-03-2009,50.4,2009-03,51.13
25-03-2009,50.5,2009-03,51.13
26-03-2009,50.4,2009-03,51.13
27-03-2009,50.46,2009-03,51.13
30-03-2009,51.12,2009-03,51.13
31-03-2009,50.87,2009-03,51.13
01-04-2009,50.48,2009-04,49.97
02-04-2009,50.22,2009-04,49.97
03-04-2009,49.91,2009-04,49.97
06-04-2009,50.01,2009-04,49.97
07-04-2009,50,2009-04,49.97
08-04-2009,50.28,2009-04,49.97
09-04-2009,49.82,2009-04,49.97
10-04-2009,49.78,2009-04,49.97
13-04-2009,49.77,2009-04,49.97
14-04-2009,49.62,2009-04,49.97
15-04-2009,49.55,2009-04,49.97
16-04-2009,49.63,2009-04,49.97
17-04-2009,49.8,2009-04,49.97
20-04-2009,49.78,2009-04,49.97
21-04-2009,50.45,2009-04,49.97
22-04-2009,50.2,2009-04,49.97
23-04-2009,49.88,2009-04,49.97
24-04-2009,49.69,2009-04,49.97
27-04-2009,50.15,2009-04,49.97
28-04-2009,50.47,2009-04,49.97
29-04-2009,50.05,2009-04,49.97
30-04-2009,49.7,2009-04,49.97
01-05-2009,49.65,2009-05,48.51
