Date,domestic passengers,international passenegrs,domestic freight(in tonne),international freight(in tonne),GDP (in dollars),Jet Fuel Price per Gallon,Inflation Rate ,Unemployement Rate
2009-01-01,3288004,885435,20832,11675,1341888016994.9,71.75,10.88,7.66
2009-01-02,3293220,757168,18645,12482,1341888016994.9,61.97,10.88,7.66
2009-01-03,3122400,848046,23046,15359,1341888016994.9,65.01,10.88,7.66
2009-01-04,3266686,861715,21623,14512,1341888016994.9,68.55,10.88,7.66
2009-01-05,3883887,898410,19534,14586,1341888016994.9,72.22,10.88,7.66
2009-01-06,3643747,903704,22688,14633,1341888016994.9,86.23,10.88,7.66
2009-01-07,3546079,1009425,24756,15988,1341888016994.9,83.05,10.88,7.66
2009-01-08,3603855,1024365,28547,17212,1341888016994.9,91.08,10.88,7.66
2009-01-09,3468264,903920,27355,16271,1341888016994.9,84.72,10.88,7.66
2009-01-10,3926556,967455,30061,18289,1341888016994.9,90.73,10.88,7.66
2009-01-11,3855421,971568,29056,19654,1341888016994.9,92.49,10.88,7.66
2009-01-12,4437730,1096885,30456,20146,1341888016994.9,92.28,10.88,7.66
2010-01-01,4034750,1051866,29646,19760,1675615519484.96,94.24,11.99,7.65
2010-01-02,3821906,912703,28722,20040,1675615519484.96,92.14,11.99,7.65
2010-01-03,3871701,1009507,32879,26744,1675615519484.96,95.91,11.99,7.65
2010-01-04,4180822,1026648,30163,21287,1675615519484.96,99.81,11.99,7.65
2010-01-05,4777361,1130732,31600,23298,1675615519484.96,94.42,11.99,7.65
2010-01-06,4457736,1097543,31588,19653,1675615519484.96,95.83,11.99,7.65
2010-01-07,4062795,1178343,32926,22630,1675615519484.96,94.63,11.99,7.65
2010-01-08,3962046,1119605,33329,23388,1675615519484.96,97.0,11.99,7.65
2010-01-09,3881160,1057158,33469,22440,1675615519484.96,97.32,11.99,7.65
2010-01-10,4583282,1081092,35980,23629,1675615519484.96,99.85,11.99,7.65
2010-01-11,4835995,1078847,29582,20009,1675615519484.96,104.25,11.99,7.65
2010-01-12,5165300,1143764,32974,23475,1675615519484.96,110.8,11.99,7.65
2011-01-01,4861989,1122551,29867,21137,1823051829894.55,118.86,8.91,7.62
2011-01-02,4502123,982603,28465,18500,1823051829894.55,129.05,8.91,7.62
2011-01-03,4778508,1139395,32156,25648,1823051829894.55,140.59,8.91,7.62
2011-01-04,4620096,1161050,28172,24007,1823051829894.55,145.01,8.91,7.62
2011-01-05,5433460,1170531,29175,24329,1823051829894.55,138.5,8.91,7.62
2011-01-06,5242886,1203148,29160,22056,1823051829894.55,136.66,8.91,7.62
2011-01-07,4964357,1262549,31371,23251,1823051829894.55,139.06,8.91,7.62
2011-01-08,4703006,1174931,30486,19433,1823051829894.55,136.2,8.91,7.62
2011-01-09,4531323,1153335,30925,18173,1823051829894.55,140.7,8.91,7.62
2011-01-10,5320177,1217923,29826,20385,1823051829894.55,146.05,8.91,7.62
2011-01-11,5345003,1171169,30096,20150,1823051829894.55,154.4,8.91,7.62
2011-01-12,5564645,1256969,31688,21824,1823051829894.55,151.24,8.91,7.62
2012-01-01,5285028,1297265,28469,20352,1827637590410.41,158.14,9.48,7.67
2012-01-02,5004468,1147925,29009,21095,1827637590410.41,157.67,9.48,7.67
2012-01-03,4823339,1218546,32287,22735,1827637590410.41,163.85,9.48,7.67
2012-01-04,5004734,1052994,28253,21921,1827637590410.41,167.12,9.48,7.67
2012-01-05,5351343,977935,33629,19085,1827637590410.41,161.6,9.48,7.67
2012-01-06,5039497,927978,29993,18808,1827637590410.41,150.05,9.48,7.67
2012-01-07,4433564,881972,29461,17741,1827637590410.41,160.58,9.48,7.67
2012-01-08,4284646,879720,28492,17046,1827637590410.41,175.35,9.48,7.67
2012-01-09,3936184,845440,28880,17107,1827637590410.41,174.1,9.48,7.67
2012-01-10,4491740,892880,34364,17061,1827637590410.41,164.75,9.48,7.67
2012-01-11,4928199,960013,29778,18986,1827637590410.41,161.97,9.48,7.67
