Date,domestic passengers,international passengers,domestic freight(in tonne),international freight(in tonne),GDP (in dollars),Jet Fuel Price per Gallon,Inflation Rate ,Unemployement Rate
01-01-2009,3288004,885435,20832,11675,1.34189E+12,71.75,10.88,7.66
02-01-2009,3293220,757168,18645,12482,1.34189E+12,61.97,10.88,7.66
03-01-2009,3122400,848046,23046,15359,1.34189E+12,65.01,10.88,7.66
04-01-2009,3266686,861715,21623,14512,1.34189E+12,68.55,10.88,7.66
05-01-2009,3883887,898410,19534,14586,1.34189E+12,72.22,10.88,7.66
06-01-2009,3643747,903704,22688,14633,1.34189E+12,86.23,10.88,7.66
07-01-2009,3546079,1009425,24756,15988,1.34189E+12,83.05,10.88,7.66
08-01-2009,3603855,1024365,28547,17212,1.34189E+12,91.08,10.88,7.66
09-01-2009,3468264,903920,27355,16271,1.34189E+12,84.72,10.88,7.66
10-01-2009,3926556,967455,30061,18289,1.34189E+12,90.73,10.88,7.66
11-01-2009,3855421,971568,29056,19654,1.34189E+12,92.49,10.88,7.66
12-01-2009,4437730,1096885,30456,20146,1.34189E+12,92.28,10.88,7.66
01-01-2010,4034750,1051866,29646,19760,1.67562E+12,94.24,11.99,7.65
02-01-2010,3821906,912703,28722,20040,1.67562E+12,92.14,11.99,7.65
03-01-2010,3871701,1009507,32879,26744,1.67562E+12,95.91,11.99,7.65
04-01-2010,4180822,1026648,30163,21287,1.67562E+12,99.81,11.99,7.65
05-01-2010,4777361,1130732,31600,23298,1.67562E+12,94.42,11.99,7.65
06-01-2010,4457736,1097543,31588,19653,1.67562E+12,95.83,11.99,7.65
07-01-2010,4062795,1178343,32926,22630,1.67562E+12,94.63,11.99,7.65
08-01-2010,3962046,1119605,33329,23388,1.67562E+12,97,11.99,7.65
09-01-2010,3881160,1057158,33469,22440,1.67562E+12,97.32,11.99,7.65
10-01-2010,4583282,1081092,35980,23629,1.67562E+12,99.85,11.99,7.65
11-01-2010,4835995,1078847,29582,20009,1.67562E+12,104.25,11.99,7.65
12-01-2010,5165300,1143764,32974,23475,1.67562E+12,110.8,11.99,7.65
01-01-2011,4861989,1122551,29867,21137,1.82305E+12,118.86,8.91,7.62
02-01-2011,4502123,982603,28465,18500,1.82305E+12,129.05,8.91,7.62
03-01-2011,4778508,1139395,32156,25648,1.82305E+12,140.59,8.91,7.62
04-01-2011,4620096,1161050,28172,24007,1.82305E+12,145.01,8.91,7.62
05-01-2011,5433460,1170531,29175,24329,1.82305E+12,138.5,8.91,7.62
06-01-2011,5242886,1203148,29160,22056,1.82305E+12,136.66,8.91,7.62
07-01-2011,4964357,1262549,31371,23251,1.82305E+12,139.06,8.91,7.62
08-01-2011,4703006,1174931,30486,19433,1.82305E+12,136.2,8.91,7.62
09-01-2011,4531323,1153335,30925,18173,1.82305E+12,140.7,8.91,7.62
10-01-2011,5320177,1217923,29826,20385,1.82305E+12,146.05,8.91,7.62
11-01-2011,5345003,1171169,30096,20150,1.82305E+12,154.4,8.91,7.62
12-01-2011,5564645,1256969,31688,21824,1.82305E+12,151.24,8.91,7.62
01-01-2012,5285028,1297265,28469,20352,1.82764E+12,158.14,9.48,7.67
02-01-2012,5004468,1147925,29009,21095,1.82764E+12,157.67,9.48,7.67
03-01-2012,4823339,1218546,32287,22735,1.82764E+12,163.85,9.48,7.67
04-01-2012,5004734,1052994,28253,21921,1.82764E+12,167.12,9.48,7.67
05-01-2012,5351343,977935,33629,19085,1.82764E+12,161.6,9.48,7.67
