Date,dom_pass,int_pass,dom_freight,int_freight,gdp,population,jet_fuel,inflation,unemployment,exchange_rate
2009-01-01,3288004.0,885435.0,20832.0,11675.0,1341890000000.0,1225524753.0,71.75,10.88,7.66,48.7
2009-02-01,3293220.0,757168.0,18645.0,12482.0,1341890000000.0,1225524753.0,61.97,10.88,7.66,49.25
2009-03-01,3122400.0,848046.0,23046.0,15359.0,1341890000000.0,1225524753.0,65.01,10.88,7.66,51.13
2009-04-01,3266686.0,861715.0,21623.0,14512.0,1341890000000.0,1225524753.0,68.55,10.88,7.66,49.97
2009-05-01,3883887.0,898410.0,19534.0,14586.0,1341890000000.0,1225524753.0,72.22,10.88,7.66,48.51
2009-06-01,3643747.0,903704.0,22688.0,14633.0,1341890000000.0,1225524753.0,86.23,10.88,7.66,47.67
2009-07-01,3546079.0,1009425.0,24756.0,15988.0,1341890000000.0,1225524753.0,83.05,10.88,7.66,48.36
2009-08-01,3603855.0,1024365.0,28547.0,17212.0,1341890000000.0,1225524753.0,91.08,10.88,7.66,48.24
2009-09-01,3468264.0,903920.0,27355.0,16271.0,1341890000000.0,1225524753.0,84.72,10.88,7.66,48.29
2009-10-01,3926556.0,967455.0,30061.0,18289.0,1341890000000.0,1225524753.0,90.73,10.88,7.66,46.65
2009-11-01,3855421.0,971568.0,29056.0,19654.0,1341890000000.0,1225524753.0,92.49,10.88,7.66,46.53
2009-12-01,4437730.0,1096885.0,30456.0,20146.0,1341890000000.0,1225524753.0,92.28,10.88,7.66,46.53
2010-01-01,4034750.0,1051866.0,29646.0,19760.0,1675620000000.0,1243481564.0,94.24,11.99,7.65,45.89
2010-02-01,3821906.0,912703.0,28722.0,20040.0,1675620000000.0,1243481564.0,92.14,11.99,7.65,46.27
2010-03-01,3871701.0,1009507.0,32879.0,26744.0,1675620000000.0,1243481564.0,95.91,11.99,7.65,45.45
2010-04-01,4180822.0,1026648.0,30163.0,21287.0,1675620000000.0,1243481564.0,99.81,11.99,7.65,44.44
2010-05-01,4777361.0,1130732.0,31600.0,23298.0,1675620000000.0,1243481564.0,94.42,11.99,7.65,45.77
2010-06-01,4457736.0,1097543.0,31588.0,19653.0,1675620000000.0,1243481564.0,95.83,11.99,7.65,46.5
2010-07-01,4062795.0,1178343.0,32926.0,22630.0,1675620000000.0,1243481564.0,94.63,11.99,7.65,46.76
2010-08-01,3962046.0,1119605.0,33329.0,23388.0,1675620000000.0,1243481564.0,97.0,11.99,7.65,46.46
2010-09-01,3881160.0,1057158.0,33469.0,22440.0,1675620000000.0,1243481564.0,97.32,11.99,7.65,45.87
2010-10-01,4583282.0,1081092.0,35980.0,23629.0,1675620000000.0,1243481564.0,99.85,11.99,7.65,44.35
2010-11-01,4835995.0,1078847.0,29582.0,20009.0,1675620000000.0,1243481564.0,104.25,11.99,7.65,44.93
2010-12-01,5165300.0,1143764.0,32974.0,23475.0,1675620000000.0,1243481564.0,110.8,11.99,7.65,45.1
2011-01-01,4861989.0,1122551.0,29867.0,21137.0,1823050000000.0,1261224954.0,118.86,8.91,7.62,45.38
2011-02-01,4502123.0,982603.0,28465.0,18500.0,1823050000000.0,1261224954.0,129.05,8.91,7.62,45.38
2011-03-01,4778508.0,1139395.0,32156.0,25648.0,1823050000000.0,1261224954.0,140.59,8.91,7.62,44.91
2011-04-01,4620096.0,1161050.0,28172.0,24007.0,1823050000000.0,1261224954.0,145.01,8.91,7.62,44.3
